title,date
华远星海运有限公司招聘工作人员的公告,Tue Jun 27 2017 16:24:15 GMT+0800 (CST)
天津华电南疆热电有限公司招聘公告,Mon Jun 05 2017 10:42:00 GMT+0800 (CST)
中国华电集团财务有限公司招聘工作人员的公告,Thu May 18 2017 08:42:14 GMT+0800 (CST)
湖北华电武昌热电有限公司供热板块招聘工作人员公告,Fri May 05 2017 10:33:14 GMT+0800 (CST)
广东公司所属单位面向四川区域系统内招聘工作人员的公告,Wed May 03 2017 16:07:55 GMT+0800 (CST)
湖北公司所属单位面向四川区域系统内招聘工作人员的公告,Wed May 03 2017 16:04:21 GMT+0800 (CST)
山西茂华公司所属夏县风电公司招聘公告,Wed May 03 2017 15:18:06 GMT+0800 (CST)
山西朔州平鲁区茂华万通源煤业有限公司招聘工作人员的公告,Mon Apr 24 2017 08:52:38 GMT+0800 (CST)
山西朔州平鲁区茂华下梨园煤业有限公司招聘工作人员的公告,Mon Apr 24 2017 08:47:22 GMT+0800 (CST)
华电技术经济研究院（华电技经中心、定额站）招聘公告,Tue Feb 28 2017 09:14:29 GMT+0800 (CST)
河北华电沽源风电有限公司市场化用工招聘启事,Mon Dec 05 2016 14:42:06 GMT+0800 (CST)
华电国际蒙东能源项目筹建处招聘启事,Mon Dec 05 2016 14:40:48 GMT+0800 (CST)
关于河南分公司本部公开招聘部分管理岗位的通知,Tue Nov 22 2016 08:34:27 GMT+0800 (CST)
中国华电集团清洁能源有限公司&ensp;华东分公司等单位公开招聘公告,Fri Nov 11 2016 08:32:54 GMT+0800 (CST)
中国华电集团公司2017年招聘简介,Fri Nov 04 2016 14:49:14 GMT+0800 (CST)
中共中国华电集团公司党校（中国华电集团高级培训中心）招聘公告,Wed Nov 02 2016 08:29:41 GMT+0800 (CST)
中国华电集团公司福建分公司所属单位招聘启事,Fri Oct 14 2016 09:05:36 GMT+0800 (CST)
华电技术经济研究院（华电技经中心、定额站）招聘公告,Thu Oct 13 2016 15:13:18 GMT+0800 (CST)
关于河南分公司本部公开招聘部分管理岗位的通知,Wed Oct 12 2016 14:07:22 GMT+0800 (CST)
江苏华电如皋热电有限公司招聘公告,Thu Sep 01 2016 10:19:32 GMT+0800 (CST)
中国华电集团白音华金山发电有限公司生产等人员招聘公告,Wed Jul 27 2016 16:33:33 GMT+0800 (CST)
山西茂华公司所属风电面向系统内开展公开招聘工作的公告,Tue Jul 26 2016 17:25:26 GMT+0800 (CST)
华电徐闻风电有限公司招聘公告,Thu Jul 21 2016 09:34:19 GMT+0800 (CST)
天津华电南疆热电有限公司招聘公告,Mon Jul 11 2016 10:25:07 GMT+0800 (CST)
贵州乌江水电开发有限责任公司所属火电企业公开招聘生产人员公告,Wed Jun 29 2016 10:08:58 GMT+0800 (CST)
湖南华电常德发电有限公司招聘公告,Wed Jun 29 2016 09:59:06 GMT+0800 (CST)
中国华电集团清洁能源有限公司华南分公司招聘公告,Wed Jun 29 2016 09:53:13 GMT+0800 (CST)
华电国际电力股份有限公司深圳公司招聘简章,Wed Jun 29 2016 09:47:48 GMT+0800 (CST)
江苏华电通州热电有限公司面向华电系统内外开展公开招聘的公告,Wed Jun 01 2016 16:02:22 GMT+0800 (CST)
华电国际奉节发电厂关于面向华电系统内外开展第二次公开招聘的公告,Fri May 27 2016 14:27:38 GMT+0800 (CST)
中国华电额勒赛下游水电项目（柬埔寨）有限公司招聘公告,Fri May 27 2016 12:48:29 GMT+0800 (CST)
汕头华电发电有限公司关于面向华电系统内外公开招聘公告,Tue May 24 2016 09:10:35 GMT+0800 (CST)
中国华电集团清洁能源有限公司华东分公司等单位公开招聘公告,Thu May 19 2016 09:26:39 GMT+0800 (CST)
中国华电集团物资有限公司（华电招标有限公司）招聘公告,Tue May 17 2016 14:25:27 GMT+0800 (CST)
中国华电集团财务有限公司招聘公告,Tue May 17 2016 14:21:55 GMT+0800 (CST)
福建华电储运有限公司财务资产部副主任招聘公告,Wed May 11 2016 16:03:36 GMT+0800 (CST)
湖南华电郴州风力发电有限公司招聘启事,Tue Apr 26 2016 15:08:34 GMT+0800 (CST)
内蒙古蒙泰不连沟煤业有限责任公司煤矸石热电厂第三批生产准备人员招聘公告,Fri Apr 22 2016 09:44:08 GMT+0800 (CST)
